Ticker,Blue Chip,Name,Sector,Sub-Sector
BABA,Yes,Alibaba Group Holding Limited,China,China
DIDI,Yes,DiDi Global Inc.,China,China
JD,,"JD.COM, INC.",China,China
LFC,,China Life Insurance Company Limited,China,China
PDD,,PINDUODUO INC.,China,China
PNGAY,Yes,"Ping An Insurance (Group) Company of China, Ltd.",China,China
PTR,,Pattern SpA,China,China
SNP,,China Petroleum & Chemical Corporation,China,China
TCEHY,Yes,Tencent Holdings Limited,China,China
TME,,TENCENT MUSIC ENTERTAINMENT GROUP,China,China
WB,,Weibo Corporation,China,China
LUMN,,Lumen Technologies,Communication Services,Comm - Alternative
DISCK,,Discovery (Series C),Communication Services,Comm - Media & Ent
FOX,,Fox Corporation (Class B),Communication Services,Comm - Media & Ent
LYV,,Live Nation Entertainment,Communication Services,Comm - Media & Ent
NWS,,News Corp (Class B),Communication Services,Comm - Media & Ent
SIRI,,Sirius XM Holdings Inc,Communication Services,Comm - Media & Ent
VIAC,,ViacomCBS,Communication Services,Comm - Media & Ent
CHTR,,Charter Communications Inc,Communication Services,Comm - Telco
CMCSA,,Comcast Corp,Communication Services,Comm - Telco
T,Yes,AT&T,Communication Services,Comm - Telco
TMUS,Yes,T-Mobile US,Communication Services,Comm - Telco
VZ,Yes,Verizon Communications,Communication Services,Comm - Telco
F,,Ford,Consumer Discretionary,Auto Manufacturer
GM,,General Motors,Consumer Discretionary,Auto Manufacturer
LCID,,Lucid Group Inc,Consumer Discretionary,Auto Manufacturer
TSLA,,Tesla,Consumer Discretionary,Auto Manufacturer
CZR,Yes,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
DKNG,Yes,DRAFTKINGS INC.,Consumer Discretionary,Casinos & Gaming
GENI,,Genius Sports Limited,Consumer Discretionary,Casinos & Gaming
LVS,,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
MGM,,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
PDYPY,,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Casinos & Gaming
PENN,Yes,Penn National Gaming,Consumer Discretionary,Casinos & Gaming
WYNN,,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
DHI,,D. R. Horton,Consumer Discretionary,Homebuilding
LEN,,Lennar,Consumer Discretionary,Homebuilding
NVR,,NVR,Consumer Discretionary,Homebuilding
PHM,,PulteGroup,Consumer Discretionary,Homebuilding
DPZ,Yes,Domino's Pizza,Consumer Discretionary,Restaurants
DRI,,Darden Restaurants,Consumer Discretionary,Restaurants
MCD,Yes,McDonald's,Consumer Discretionary,Restaurants
SBUX,Yes,Starbucks,Consumer Discretionary,Restaurants
YUM,Yes,Yum! Brands,Consumer Discretionary,Restaurants
BURBY,,BURBERRY GROUP PLC,Consumer Discretionary,Retail - Apparel
CFRUY,Yes,Compagnie Financiere Richemont SA,Consumer Discretionary,Retail - Apparel
GPS,Yes,Gap,Consumer Discretionary,Retail - Apparel
LULU,,Lululemon Athletica Inc,Consumer Discretionary,Retail - Apparel
LVMUY,,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,Retail - Apparel
NKE,Yes,Nike,Consumer Discretionary,Retail - Apparel
PVH,,PVH,Consumer Discretionary,Retail - Apparel
RL,,Ralph Lauren Corporation,Consumer Discretionary,Retail - Apparel
ROST,Yes,Ross Stores,Consumer Discretionary,Retail - Apparel
TJX,,TJX Companies,Consumer Discretionary,Retail - Apparel
TPR,,Tapestry,Consumer Discretionary,Retail - Apparel
UA,,Under Armour (Class C),Consumer Discretionary,Retail - Apparel
VFC,,VF Corporation,Consumer Discretionary,Retail - Apparel
AAP,,Advance Auto Parts,Consumer Discretionary,Retail - Auto
AZO,,AutoZone,Consumer Discretionary,Retail - Auto
KMX,,CarMax,Consumer Discretionary,Retail - Auto
ORLY,,O'Reilly Automotive,Consumer Discretionary,Retail - Auto
BBY,,Best Buy,Consumer Discretionary,Retail - Electronics
DG,,Dollar General,Consumer Discretionary,Retail - General
DLTR,,Dollar Tree,Consumer Discretionary,Retail - General
TGT,Yes,Target,Consumer Discretionary,Retail - General
LEG,,Leggett & Platt,Consumer Discretionary,Retail - Home Furnish 
MHK,,Mohawk Industries,Consumer Discretionary,Retail - Home Furnish 
NWL,,Newell Brands,Consumer Discretionary,Retail - Home Furnish 
WHR,,Whirlpool Corporation,Consumer Discretionary,Retail - Home Furnish 
HD,Yes,Home Depot,Consumer Discretionary,Retail - Home Imp
LOW,Yes,Lowe's,Consumer Discretionary,Retail - Home Imp
BBWI,,Bath & Body Works,Consumer Discretionary,Retail - Specialty
TSCO,,Tractor Supply Company,Consumer Discretionary,Retail - Specialty
ULTA,,Ulta Beauty,Consumer Discretionary,Retail - Specialty
HAS,,Hasbro,Consumer Discretionary,Retail - Toys
BKNG,Yes,Booking Holdings,Consumer Discretionary,Travel
CCL,,Carnival Corporation,Consumer Discretionary,Travel
